movie_name,area_code,region_name,mapping_type,evidence,confidence,trending_score
극한직업,31,경기,BACKGROUND,"수원 통닭거리 모티브 자영업 코미디",4,85.0
외계+인 1부,31,경기,BACKGROUND,"고려 + 현대 경기 사극/SF",3,68.0
외계+인 2부,31,경기,BACKGROUND,"경기 고려 사극 배경 지속",3,62.0
파묘,31,경기,SHOT,"여주·이천 산속 묘지 실촬영",5,89.0
살인의 추억,31,경기,THEME,"화성 연쇄살인 사건 실화 배경",5,90.0
공동경비구역 JSA,31,경기,THEME,"파주 DMZ 판문점 배경",5,86.0
이끼,31,경기,SHOT,"양평·여주 시골 마을 실촬영",4,68.0
왕의 남자,31,경기,SHOT,"수원 화성·용인 한국민속촌 실촬영",5,80.0
달짝지근해: 7510,31,경기,SHOT,"경기 남양주 제과점 로케",3,55.0
시민덕희,31,경기,BACKGROUND,"경기 화성·안산 일대 실화 배경",3,58.0
버닝,31,경기,SHOT,"파주 임진강 일대 실촬영",4,70.0
한공주,31,경기,THEME,"경기 고등학교 기반 실화 모티브",3,60.0
더 킹,31,경기,BACKGROUND,"수원·안산 검찰 실무 배경",3,56.0
명량,38,전남,THEME,"진도 울돌목·해남 명량해전 배경",5,82.0
노량: 죽음의 바다,36,경남,THEME,"남해 노량해전 역사 배경",4,72.0
한산: 용의 출현,36,경남,SHOT,"통영·한산도 해전 재현 촬영",5,84.0
밀양,36,경남,SHOT,"밀양 시내·영남루 실촬영",4,70.0
"로봇, 소리",36,경남,SHOT,"거제·통영 해안 로드무비",3,56.0
연애의 온도,36,경남,BACKGROUND,"창원 직장 커플 배경",2,48.0
부산행,6,부산,SHOT,"KTX 부산행 종착 + 부산역·해운대",5,95.0
해운대,6,부산,SHOT,"해운대 해수욕장 실촬영 + 재난",5,93.0
국제시장,6,부산,SHOT,"중구 국제시장·영도다리 실촬영",5,88.0
친구,6,부산,SHOT,"초량·영도 골목 실촬영",5,82.0
변호인,6,부산,SHOT,"부산 남포동·서면 실촬영",5,85.0
범죄와의 전쟁: 나쁜놈들 전성시대,6,부산,BACKGROUND,"1980년대 부산 건달 세계",4,78.0
반도,6,부산,BACKGROUND,"부산행 후속편 부산 폐허",3,70.0
7광구,6,부산,BACKGROUND,"부산 심해 시추선",3,60.0
아저씨,6,부산,BACKGROUND,"부산 장림동 은신처",3,68.0
마더,6,부산,BACKGROUND,"부산·경남 시골 정서",3,66.0
리틀 포레스트,35,경북,SHOT,"영주·군위 사계절 농촌 실촬영",5,86.0
남한산성,35,경북,BACKGROUND,"경북 문경새재 촬영 일부",3,64.0
사도,35,경북,BACKGROUND,"경북 문경새재·안동 한옥 실촬영",3,62.0
황해,35,경북,BACKGROUND,"포항·경북 해안 일부 실촬영",3,58.0
동승,35,경북,SHOT,"안동 청량사·봉정사 고찰 실촬영",3,48.0
봄날은 간다,32,강원,SHOT,"삼척 맹방해변·강릉 동해안 실촬영",4,72.0
아가씨,32,강원,SHOT,"강원·경기 고택 실촬영",4,68.0
백두산,32,강원,SHOT,"강원 평창·속초 화산 세트",3,74.0
동주,32,강원,BACKGROUND,"강원 일대 윤동주 시인 배경 촬영",3,60.0
늑대소년,32,강원,SHOT,"평창·대관령 일대 실촬영",5,82.0
치악산,32,강원,SHOT,"원주 치악산 실촬영",4,56.0
라디오스타,32,강원,SHOT,"영월 실촬영",5,68.0
인천상륙작전,2,인천,SHOT,"월미도·자유공원 실촬영",5,82.0
비상선언,2,인천,BACKGROUND,"인천공항 이륙 재난",3,62.0
파일럿,2,인천,BACKGROUND,"인천공항 민항 스토리",3,55.0
연평해전,2,인천,THEME,"서해 연평해역 + 인천 해군기지",4,68.0
택시운전사,5,광주,SHOT,"광주 금남로·옛 전남도청 실촬영",5,90.0
화려한 휴가,5,광주,SHOT,"5.18 민주화운동 금남로 배경",5,85.0
도가니,5,광주,THEME,"광주 인화학교 사건 실화",4,72.0
밀양,4,대구,BACKGROUND,"경북 + 대구 생활권 전도사 배경",3,58.0
플란다스의 개,4,대구,BACKGROUND,"대구 대단지 아파트 실촬영 일부",3,52.0
굿바이싱글,3,대전,BACKGROUND,"대전 병원·가족 배경",2,45.0
내일의 기억,3,대전,THEME,"대전 과학도시 치매 테마",2,40.0
더 테러 라이브,7,울산,BACKGROUND,"울산대교 폭파 설정",2,48.0
코리아,7,울산,THEME,"울산 현대 팀 탁구 배경",2,45.0
미나리,8,세종,THEME,"한국 시골 정서 연결 (해외 촬영)",2,42.0
클레멘타인,33,충북,BACKGROUND,"청주 일대 액션 배경",2,42.0
귀향,33,충북,THEME,"일제 강제동원 실화 + 충북 생활권",3,54.0
제천국제음악영화제,33,충북,THEME,"제천 음악영화 테마 관광 연결",2,38.0
밀수,34,충남,SHOT,"태안·안면도 해녀 실촬영",5,82.0
태극기 휘날리며,34,충남,BACKGROUND,"6.25 충남 낙동강 전선 일부",3,70.0
황산벌,34,충남,THEME,"황산벌 전투(논산) 역사 배경",3,52.0
마녀,37,전북,SHOT,"전주·무주 숲 로케",4,68.0
군도: 민란의 시대,37,전북,BACKGROUND,"전주·임실 전라도 사극",3,62.0
관상,37,전북,SHOT,"전주 한옥마을·무주 세트",4,70.0
곡성,38,전남,SHOT,"곡성군 옥과·죽곡면 실촬영",5,80.0
청연,38,전남,BACKGROUND,"일제강점기 전남 목포 일대",2,48.0
기묘한 가족,38,전남,BACKGROUND,"전남 장흥군 실촬영",3,58.0
지슬,39,제주,THEME,"제주 4.3 사건 실화 배경",4,62.0
이어도,39,제주,THEME,"제주 이어도 전설 배경",2,42.0
파도,39,제주,SHOT,"제주 해안 서핑 로드무비",2,48.0
